event,fd,roster
4557,183,"Avengers LVO

[Characters]
- Black Cat: 3
- Black Widow: 2
- Captain America Sam Wilson: 3
- Captain America Steve Rogers: 4
- Doctor Voodoo: 4
- Hulk: 6
- Iron Fist: 3
- Iron Man: 3
- Luke Cage: 3
- Vision: 4

[Team Tactics]
- Advanced R&D
- Avengers Assemble
- Brace for Impact
- Disarm
- Escort to Safety
- Field Dressing
- Follow Me
- Heroes For Hire
- Ricochet Blast
- Sacrifice

[Extract Crises]
- Fear Grips World as ""Worthy"" Terrorize Cities [D]: 18
- Mystic Wakandan Herbs: Fact or Fiction? [A]: 15
- Spider-Infected Invade Manhattan [F]: 17

[Secure Crises]
- Gamma Wave Sweeps Across Midwest [E]: 15
- Mutant Madman Turns City Center Into Lethal Amusement Park [B]: 18
- Portals Overrun City with Spider-People [D]: 18
"
4557,,"lvo

Characters 10:
Threat: 37
*Cable Threat: 5
Deadpool Threat: 3
Domino Threat: 3
Baron Zemo Threat: 3
*Captain America Steve Rogers Threat: 4
*Dormammu Threat: 8
Hood Threat: 3
Luke Cage Threat: 3
Shuri Threat: 3
Nebula Threat: 2

Tactics 10:
Avengers Assemble
Blind Obsession
Brace for Impact R
Cat and Mouse
Dark Restoration
Heroes for Hire
Medpack R
Sacrifice
Face Me
Marked for Death

Secure Crisis:
S.W.O.R.D. Establishes Base on Moon's Blue Area Threat: 14
Gamma Wave Sweeps Across Midwest Threat: 15
Mayor Fisk Vows to Find Missing Witnesses Threat: 16

Extract Crisis:
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
Research Station Attacked! Threat: 16
Mutant Extremists Target U.S. Senators! Threat: 14
"
4557,"183,301","Blade
Moon knight
Iron Fist
Ghost rider
Dr. Voodoo
Zemo
Hulkbuster
Black dwarf
Okoye
Rocket

Siege
Bats
Blind obsession
Sacrifice
Smash
Heroes for hire
Grievous wounds
Deal w devil
Brace for impact
Patch up

Intrusions
Demons
Sword

Fear grips
Alien ships
Senators"
4557,199,"spider foes

[Characters]
- Amazing Spider-Man: 5
- Bullseye: 2
- Doctor Octopus: 3
- Doctor Strange, Sorcerer Supreme: 5
- Green Goblin: 4
- Killmonger: 4
- Lizard: 3
- Mystique: 3
- Toad: 2
- Venom: 4

[Team Tactics]
- Deception
- Field Dressing
- Lethal Protector
- Marked For Death
- Medpack
- Mission Objective
- Sacrifice
- Sinister Traps
- Usurp the Throne
- Well-Laid Plans

[Extract Crises]
- Fear Grips World as ""Worthy"" Terrorize Cities [D]: 18
- Spider-Infected Invade Manhattan [F]: 17
- Struggle for the Cube Continues [F]: 17

[Secure Crises]
- Infinity Formula Goes Missing [B]: 17
- Intrusions Open Across City As Seals Collapse [C]: 19
- Mutant Madman Turns City Center Into Lethal Amusement Park [B]: 18
"
4557,"193,301","Midnight

[Characters]
- Black Cat: 3
- Blade: 4
- Corvus Glaive: 4
-- Infinity Gem: Reality: 1
- Doctor Voodoo: 4
- Ghost Rider: 5
- Iron Fist: 3
- Proxima Midnight: 3
- Thanos, the Mad Titan: 6
-- Infinity Gem: Mind: 1
-- Infinity Gem: Space: 1
- Vision: 4
- Wong: 2

[Team Tactics]
- Bitter Rivals
- Deal With The Devil
- Execute
- Follow Me
- Heroes For Hire
- Marked For Death
- Medpack
- Mothership
- Sacrifice
- Siege of Darkness

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Research Station Attacked! [E]: 16
- Skrulls Infiltrate World Leadership [C]: 17

[Secure Crises]
- Cosmic Invasion! Black Order Descends on Earth [D]: 16
- Demons Downtown! Has Our Comeuppance Come Due? [E]: 19
- Intrusions Open Across City As Seals Collapse [C]: 19
"
4557,301,"Midnight Defenders

[Characters]
- Black Dwarf: 4
- Blade: 4
- Doctor Voodoo: 4
- Ghost Rider: 5
- Iron Fist: 3
- Luke Cage: 3
- Moon Knight: 3
- Shuri: 3
- Toad: 2
- Wong: 2

[Team Tactics]
- Brace for Impact
- Deal With The Devil
- Disarm
- Grievous Wounds
- Heroes For Hire
- Marked For Death
- Patch Up
- Sacrifice
- Seance
- Siege of Darkness

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Fear Grips World as ""Worthy"" Terrorize Cities [D]: 18
- Research Station Attacked! [E]: 16

[Secure Crises]
- Demons Downtown! Has Our Comeuppance Come Due? [E]: 19
- Gamma Wave Sweeps Across Midwest [E]: 15
- Terrigen Clouds Sweep Over City [C]: 20
"
4557,183,"Cap Steve
Quick silver
Loki with mind
Black Panther
Scarlet witch
Deadpool
Iron Man
Dr voodoo
Black widow
Zemo

Tactics
medpack, Brace, assemble, can i borrow that, disarm, exceptional healing, ricochet blast, mission objective, no more mutants, advanced R and d

Herbs
Hammers
Research
Gamma shelters
Infinity formula 
Mutant madman"
4557,183,"[Characters]
- Black Cat: 3
- Black Widow: 2
- Bullseye: 2
- Captain America Sam Wilson: 3
- Ghost Rider: 5
- Hawkeye: 3
- Hulkbuster: 6
- Iron Fist: 3
- Mystique: 3
- Vision: 4

[Team Tactics]
- Avengers Assemble
- Blind Obsession
- Climbing Gear
- Deal With The Devil
- Deception
- Disarm
- Field Dressing
- Helios Laser Bombardment
- Heroes For Hire
- Patch Up

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Spider-Infected Invade Manhattan [F]: 17
- Struggle for the Cube Continues [F]: 17

[Secure Crises]
- Mutant Madman Turns City Center Into Lethal Amusement Park [B]: 18
- Portals Overrun City with Spider-People [D]: 18
- Riots Spark Over Extremis 3.0 [D]: 17
"
4557,"201,193,211","Kingpin. Brace 
Hood medpack 
Bullseye sacrifice 
Black cat disarm 
Thanos+M&P mothership 
Corvus+R climbing gear 
Proxima monkey brain 
Cage heroes for hire 
Lizard all according to plan 
Black widow cruelty 

Gamma wave 
Extremis 3.0 
Infinity formula 

Cubes 
Legacy virus 
Research station"
4557,195,"Starlord
Rocket
Groot
Drax
Nebula
Angela
Gamora
Venom
Bullseye
Ghost Rider

Field Dressing
Brace for Impact
Deadly Duo
Loveable Misfits
Crew of the Milano
Blind Obsession
Deal With The Devil
Lethal Protector
Marked For Death
Sacrifice

17 Skrulls Infiltrate World Leadership
18 Fear Grips World As Worthy Terrorize Cities
16 Research Station Attacked!

15 Gamma Wave Sweeps Across Midwest
19 Demons Downtown! Has Our Comeuppance Come Due?
17 Infinity Formula Goes Missing"
